Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,377346.0,4.109375,3.0702277500596295E-9,377346.0,94.1337658276489,94.1337658276489,-370.3782405439876,0.0,?,?,?,377346.0,2888.0
Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,5000.0,0.046875,3.502160931626956E-11,5000.0,94.04,94.04,-520.8333333333297,0.0,5000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,10000.0,0.125,9.339095817671881E-11,10000.0,95.54,95.54,-502.7027027027054,0.0,10000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,15000.0,0.1875,1.2922100722789763E-10,15000.0,94.97333333333333,94.97333333333333,-338.37209302325755,0.0,15000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,20000.0,0.234375,1.5609354401628176E-10,20000.0,91.44,91.44,-400.58479532163733,0.0,20000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,25000.0,0.3125,2.008811053302553E-10,25000.0,89.904,89.904,-437.0212765957438,0.0,25000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,30000.0,0.359375,2.277536421186394E-10,30000.0,91.04666666666667,91.04666666666667,-381.3620071684602,0.0,30000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,35000.0,0.421875,2.6358369116981824E-10,35000.0,92.10000000000001,92.10000000000001,-383.3916083916093,0.0,35000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,40000.0,0.46875,2.904562279582024E-10,40000.0,91.50500000000001,91.50500000000001,-417.9878048780496,0.0,40000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,45000.0,0.53125,3.262862770093812E-10,45000.0,90.99777777777777,90.99777777777777,-456.4560439560454,0.0,45000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,50000.0,0.59375,3.6211632606056006E-10,50000.0,90.96,90.96,-465.7071339173972,0.0,50000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,55000.0,0.65625,3.979463751117389E-10,55000.0,90.68909090909091,90.68909090909091,-485.9267734553785,0.0,55000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,60000.0,0.71875,4.3377642416291775E-10,60000.0,90.86166666666666,90.86166666666666,-482.05944798301334,0.0,60000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,65000.0,0.765625,4.606489609513019E-10,65000.0,91.24461538461539,91.24461538461539,-496.5408805031468,0.0,65000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,70000.0,0.828125,4.964790100024807E-10,70000.0,91.49571428571429,91.49571428571429,-477.9611650485454,0.0,70000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,75000.0,0.890625,5.323090590536595E-10,75000.0,91.548,91.548,-468.0107526881722,0.0,75000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,80000.0,0.9375,5.591815958420436E-10,80000.0,91.5425,91.5425,-476.320272572402,0.0,80000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,85000.0,1.0,5.950116448932224E-10,85000.0,91.91411764705883,91.91411764705883,-480.48986486486587,0.0,85000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,90000.0,1.046875,6.218841816816065E-10,90000.0,92.16222222222223,92.16222222222223,-467.9549114331708,0.0,90000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,95000.0,1.109375,6.577142307327854E-10,95000.0,91.91157894736843,91.91157894736843,-470.87667161961247,0.0,95000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,100000.0,1.15625,6.845867675211694E-10,100000.0,91.678,91.678,-491.89189189189324,0.0,100000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,105000.0,1.21875,7.204168165723483E-10,105000.0,91.9847619047619,91.9847619047619,-472.51700680272074,0.0,105000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,110000.0,1.28125,7.562468656235271E-10,110000.0,92.01272727272726,92.01272727272726,-469.04145077720284,0.0,110000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,115000.0,1.328125,7.831194024119112E-10,115000.0,92.05391304347826,92.05391304347826,-459.2411260709931,0.0,115000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,120000.0,1.390625,8.189494514630901E-10,120000.0,92.19333333333334,92.19333333333334,-469.13730255163813,0.0,120000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,125000.0,1.453125,8.547795005142689E-10,125000.0,92.3432,92.3432,-459.70760233917997,0.0,125000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,130000.0,1.515625,8.906095495654477E-10,130000.0,92.29153846153847,92.29153846153847,-469.37500000000193,0.0,130000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,135000.0,1.59375,9.353971108794213E-10,135000.0,92.36,92.36,-467.95154185022153,0.0,135000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,140000.0,1.640625,9.622696476678053E-10,140000.0,92.50357142857143,92.50357142857143,-464.24731182795915,0.0,140000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,145000.0,1.671875,9.801846721933947E-10,145000.0,92.60206896551723,92.60206896551723,-463.39285714285614,0.0,145000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,150000.0,1.734375,1.0160147212445735E-9,150000.0,92.64666666666666,92.64666666666666,-462.1814475025493,0.0,150000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,155000.0,1.796875,1.0518447702957523E-9,155000.0,92.67032258064516,92.67032258064516,-462.98315163528423,0.0,155000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,160000.0,1.84375,1.0787173070841364E-9,160000.0,92.481875,92.481875,-480.55019305019215,0.0,160000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,165000.0,1.90625,1.1145473561353153E-9,165000.0,92.56727272727274,92.56727272727274,-486.2332695984716,0.0,165000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,170000.0,1.96875,1.1503774051864941E-9,170000.0,92.77058823529411,92.77058823529411,-485.79599618684693,0.0,170000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,175000.0,2.03125,1.186207454237673E-9,175000.0,92.90571428571428,92.90571428571428,-476.3695450324973,0.0,175000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,180000.0,2.09375,1.2220375032888518E-9,180000.0,93.07888888888888,93.07888888888888,-471.4678899082587,0.0,180000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,185000.0,2.15625,1.2578675523400306E-9,185000.0,93.05837837837838,93.05837837837838,-478.9900811541907,0.0,185000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,190000.0,2.203125,1.2847400891284147E-9,190000.0,93.04157894736842,93.04157894736842,-458.7912087912083,0.0,190000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,195000.0,2.265625,1.3205701381795936E-9,195000.0,93.04820512820513,93.04820512820513,-433.28088119591035,0.0,195000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,200000.0,2.328125,1.3564001872307724E-9,200000.0,93.1395,93.1395,-429.7683397683393,0.0,200000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,205000.0,2.375,1.3832727240191565E-9,205000.0,93.26048780487804,93.26048780487804,-426.52439024390134,0.0,205000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,210000.0,2.4375,1.4191027730703353E-9,210000.0,93.32095238095238,93.32095238095238,-422.9679343773314,0.0,210000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,215000.0,2.515625,1.463890334384309E-9,215000.0,93.3232558139535,93.3232558139535,-425.82417582417395,0.0,215000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,220000.0,2.578125,1.4997203834354878E-9,220000.0,93.44272727272728,93.44272727272728,-426.11232676878245,0.0,220000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,225000.0,2.640625,1.5355504324866666E-9,225000.0,93.47822222222221,93.47822222222221,-419.61756373937885,0.0,225000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,230000.0,2.71875,1.5803379938006402E-9,230000.0,93.47652173913043,93.47652173913043,-422.24155934563186,0.0,230000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,235000.0,2.78125,1.616168042851819E-9,235000.0,93.5068085106383,93.5068085106383,-426.5355417529313,0.0,235000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,240000.0,2.828125,1.6430405796402032E-9,240000.0,93.63916666666667,93.63916666666667,-426.4137931034486,0.0,240000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,245000.0,2.890625,1.678870628691382E-9,245000.0,93.76204081632653,93.76204081632653,-425.91190640055254,0.0,245000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,250000.0,2.953125,1.7147006777425608E-9,250000.0,93.84599999999999,93.84599999999999,-420.11494252873797,0.0,250000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,255000.0,3.0,1.741573214530945E-9,255000.0,93.93450980392157,93.93450980392157,-416.94518716577323,0.0,255000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,260000.0,3.0625,1.7774032635821238E-9,260000.0,93.94615384615385,93.94615384615385,-412.03643461288164,0.0,260000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,265000.0,3.125,1.8132333126333026E-9,265000.0,93.93169811320755,93.93169811320755,-412.1337579617844,0.0,265000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,270000.0,3.1875,1.8490633616844815E-9,270000.0,93.95518518518519,93.95518518518519,-411.95106649937384,0.0,270000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,275000.0,3.234375,1.8759358984728657E-9,275000.0,93.96945454545454,93.96945454545454,-402.2410660205924,0.0,275000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,280000.0,3.296875,1.9117659475240444E-9,280000.0,94.02321428571429,94.02321428571429,-398.0654761904758,0.0,280000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,285000.0,3.34375,1.9386384843124285E-9,285000.0,93.92456140350878,93.92456140350878,-404.2224810716366,0.0,285000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,290000.0,3.40625,1.974468533363607E-9,290000.0,93.9503448275862,93.9503448275862,-393.91891891891737,0.0,290000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,295000.0,3.46875,2.0102985824147857E-9,295000.0,93.85322033898305,93.85322033898305,-404.53533667223167,0.0,295000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,300000.0,3.515625,2.03717111920317E-9,300000.0,93.88666666666666,93.88666666666666,-406.90989496959855,0.0,300000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,305000.0,3.578125,2.0730011682543485E-9,305000.0,93.92950819672132,93.92950819672132,-397.7150537634403,0.0,305000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,310000.0,3.640625,2.108831217305527E-9,310000.0,93.98032258064516,93.98032258064516,-388.7637506547921,0.0,310000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,315000.0,3.703125,2.1446612663567057E-9,315000.0,93.89174603174604,93.89174603174604,-394.6272493573267,0.0,315000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,320000.0,3.78125,2.1894488276706793E-9,320000.0,93.905625,93.905625,-393.72151898734205,0.0,320000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,325000.0,3.84375,2.225278876721858E-9,325000.0,93.96215384615385,93.96215384615385,-391.55811623246336,0.0,325000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,330000.0,3.90625,2.2611089257730366E-9,330000.0,93.99818181818182,93.99818181818182,-389.03703703703536,0.0,330000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,335000.0,3.953125,2.2879814625614207E-9,335000.0,94.00776119402985,94.00776119402985,-390.5669599218004,0.0,335000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,340000.0,4.0,2.3148539993498048E-9,340000.0,94.06205882352941,94.06205882352941,-383.91658676893445,0.0,340000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,345000.0,4.046875,2.341726536138189E-9,345000.0,94.04608695652173,94.04608695652173,-383.3176470588252,0.0,345000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,350000.0,4.046875,2.341726536138189E-9,350000.0,94.10657142857143,94.10657142857143,-382.84176029962634,0.0,350000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,355000.0,4.109375,2.3775565851893675E-9,355000.0,94.08816901408451,94.08816901408451,-386.2604263206668,0.0,355000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,360000.0,4.171875,2.413386634240546E-9,360000.0,94.07972222222222,94.07972222222222,-382.8500226551906,0.0,360000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,365000.0,4.21875,2.44025917102893E-9,365000.0,94.12054794520547,94.12054794520547,-378.3771734284424,0.0,365000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,370000.0,4.28125,2.476089220080109E-9,370000.0,94.12810810810811,94.12810810810811,-378.9682539682522,0.0,370000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,375000.0,4.328125,2.502961756868493E-9,375000.0,94.11653333333334,94.11653333333334,-371.8349016253211,0.0,375000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,377346.0,4.34375,2.5119192691312875E-9,377346.0,94.1337658276489,94.1337658276489,-370.3782405439876,0.0,377346.0,2216.0
